estacion_id;estacion_nombre;municipio_id;municipio_nombre;latitud;longitud
1111500036;ABRIAQUI;31;ABRIAQUÍ;6.6363;-76.070733333
2620500209;ACUEDUCTO ARMENIA;9;ARMENIA;6.161666667;-75.775805556
0023085270;AEROPUERTO J.M. CORDOVA;3;RIONEGRO;6.1686111;-75.42611111
0027015330;AEROPUERTO OLAYA HERRERA;26;MEDELLÍN;6.224679;-75.588225
0023175020;AEROPUERTO OTU;1;REMEDIOS;7.01175;-74.71630556
2701500213;ALTO DE LA CRUZ;19;AMALFI;6.91;-75.078888889
0027010850;AMALFI;19;AMALFI;6.905555556;-75.07722222
2702500107;ANGOSTURA;20;ANGOSTURA;6.900555556;-75.326019444
0027025030;ANORI;21;ANORÍ;7.0719;-75.1505
0027015320;ARAGON;28;SANTA ROSA DE OSOS;6.78;-75.56
0011110110;BOQUERON DE TOYO;35;GIRALDO;6.699444444;-75.9775
1111500203;CAMPO ALEGRE;33;DABEIBA;7.026813889;-76.252825
0011115020;CAÑASGORDAS;32;CAÑASGORDAS;6.758027778;-76.02966667
0023085160;CORRIENTES;6;SAN VICENTE;6.311944444;-75.25355556
2614500116;EL JARDIN CUENCA ALTA RIO RISARALDA;12;JARDÍN;5.593375;-75.796397778
2620500211;EL PLAN;10;FREDONIA;5.924716667;-75.667316667
0023085080;GRANJA EXPERIMENTAL EL NUS;5;SAN ROQUE;6.483583333;-74.83669444
0027015190;GUAYABITO;29;SANTO DOMINGO;6.540388889;-75.14675
0026225060;HACIENDA COTOVE;15;SANTA FE DE ANTIOQUIA;6.533916667;-75.82733333
0026175040;HACIENDA TUNEZ;10;FREDONIA;5.80025;-75.65097222
2621500070;ITUANGO;11;ITUANGO;7.161433333;-75.762886111
0025021480;LA ESPERANZA RADIO;27;NECHÍ;8.03;-74.79
0027030140;LA PALMA DE COCO;30;SEGOVIA;7.236111111;-74.80794444
0027015260;LA SALADA;23;CALDAS;6.048361111;-75.62466667
0027011100;LAS BRISAS;30;SEGOVIA;7.158805556;-74.82183333
0023085260;LA SELVA;3;RIONEGRO;6.131916667;-75.41455556
0023105070;MACEO;8;YOLOMBÓ;6.571638889;-74.79472222
0026185020;MESOPOTAMIA;13;LA UNIÓN;5.88636111;-75.31863889
0027015310;METROMEDELLIN;22;BELLO;6.32975;-75.55211111
0011115040;MUSINGA;34;FRONTINO;6.777972222;-76.20333333
0011110010;NORMAL SANTA TERESA;34;FRONTINO;6.763333333;-76.13361111
0026200120;OTRAMINA;17;TITIRIBÍ;6.07294444;-75.79458333
0027015280;PARAMO BELMIRA;25;ENTRERRIOS;6.632027778;-75.64444444
0012015100;PISTA INDIRA;37;TURBO;7.94075;-76.69616667
2308500071;RETIRO;2;RETIRO;6.08211;-75.56640167
0023085220;SAN CARLOS;4;SAN CARLOS;6.157666667;-75.03891667
0026185050;SANTA BARBARA;14;SANTA BÁRBARA;5.859583333;-75.55627778
0027010810;SANTA ELENA;26;MEDELLÍN;6.196888889;-75.51675
0026255030;SANTA ISABEL VALDIVIA;18;VALDIVIA;7.157222222;-75.442275
0027035050;SENA - EL BAGRE;24;EL BAGRE;7.584666667;-74.800694444
0026180180;SONSON;16;SONSÓN;5.71525;-75.2945
0012015060;TULENAPA;36;CAREPA;7.77;-76.67
0012025040;TURBO;37;TURBO;8.091805556;-76.71633333
2620500210;UFRANÁ;17;TITIRIBÍ;6.085388889;-75.811972222
0023105030;VEGACHI;7;VEGACHÍ;6.774111111;-74.79652778
