municipio_id;municipio_nombre;departamento_id;departamento_nombre;zona_id;zona_nombre
31;ABRIAQUÍ;1;ANTIOQUIA;4;ATRATO - DARIÉN
19;AMALFI;1;ANTIOQUIA;3;NECHÍ
20;ANGOSTURA;1;ANTIOQUIA;3;NECHÍ
21;ANORÍ;1;ANTIOQUIA;3;NECHÍ
9;ARMENIA;1;ANTIOQUIA;2;CAUCA
22;BELLO;1;ANTIOQUIA;3;NECHÍ
23;CALDAS;1;ANTIOQUIA;3;NECHÍ
32;CAÑASGORDAS;1;ANTIOQUIA;4;ATRATO - DARIÉN
36;CAREPA;1;ANTIOQUIA;5;CARIBE - LITORAL
33;DABEIBA;1;ANTIOQUIA;4;ATRATO - DARIÉN
24;EL BAGRE;1;ANTIOQUIA;3;NECHÍ
25;ENTRERRIOS;1;ANTIOQUIA;3;NECHÍ
10;FREDONIA;1;ANTIOQUIA;2;CAUCA
34;FRONTINO;1;ANTIOQUIA;4;ATRATO - DARIÉN
35;GIRALDO;1;ANTIOQUIA;4;ATRATO - DARIÉN
11;ITUANGO;1;ANTIOQUIA;2;CAUCA
12;JARDÍN;1;ANTIOQUIA;2;CAUCA
13;LA UNIÓN;1;ANTIOQUIA;2;CAUCA
26;MEDELLÍN;1;ANTIOQUIA;3;NECHÍ
27;NECHÍ;1;ANTIOQUIA;3;NECHÍ
1;REMEDIOS;1;ANTIOQUIA;1;MEDIO MAGDALENA
2;RETIRO;1;ANTIOQUIA;1;MEDIO MAGDALENA
3;RIONEGRO;1;ANTIOQUIA;1;MEDIO MAGDALENA
4;SAN CARLOS;1;ANTIOQUIA;1;MEDIO MAGDALENA
5;SAN ROQUE;1;ANTIOQUIA;1;MEDIO MAGDALENA
14;SANTA BÁRBARA;1;ANTIOQUIA;2;CAUCA
15;SANTA FE DE ANTIOQUIA;1;ANTIOQUIA;2;CAUCA
28;SANTA ROSA DE OSOS;1;ANTIOQUIA;3;NECHÍ
29;SANTO DOMINGO;1;ANTIOQUIA;3;NECHÍ
6;SAN VICENTE;1;ANTIOQUIA;1;MEDIO MAGDALENA
30;SEGOVIA;1;ANTIOQUIA;3;NECHÍ
16;SONSÓN;1;ANTIOQUIA;2;CAUCA
17;TITIRIBÍ;1;ANTIOQUIA;2;CAUCA
37;TURBO;1;ANTIOQUIA;5;CARIBE - LITORAL
18;VALDIVIA;1;ANTIOQUIA;2;CAUCA
7;VEGACHÍ;1;ANTIOQUIA;1;MEDIO MAGDALENA
8;YOLOMBÓ;1;ANTIOQUIA;1;MEDIO MAGDALENA
